s_no,suburb,property_type,bedrooms,bathrooms,car_spaces,land_size_m2,building_siz_m2,sale_price_aud,sale_date,description
15,Mosman,House,4,2,1,246,,3700000,21-May-2026,"Federation charm with modern family-focused design. This elegant dual-level Mosman residence blends charming Federation character with a beautifully designed family floorplan in a setting that feels both tranquil and central. Behind its graceful façade, traditional details include leadlight windows, ceiling roses, fireplaces and soaring ceilings, while the contemporary living extension is filled with natural light and premium finishes"
16,Mosman,House,3,2,1,493,,4165000,14-May-2026,"Idyllic Mosman escape - filtered harbour views and northern sun. Flaunting a perfect north to rear aspect, this inviting three-bedroom two-storey home rests upon a quiet family focused tree lined Mosman street on approximately 493sqm of land. "
17,Mosman,House,3,2,1,378,,3525000,12-May-2026,"Freestanding Home, Prized Location. Situated in one of Mosman's favourite tree lined streets, this gorgeous freestanding home offers endless appeal and unlimited potential in a prized location."
18,Mosman,House,4,2,1,616,,5605000,05-May-2026,"Classic Federation, Exceptional Single Level Floorplan. Enjoying a prized village location and proudly placed on a large 616m2 corner block, this stunning turn key Federation residence is set amongst established landscaped gardens and offers an enviable lifestyle of privacy and absolute convenience."
19,Mosman,House,5,2,1,515,,5600000,20-Apr-2026,"A sanctuary of style basking in northern sun - family friendly living and complete convenience. Alive with natural light, this striking c1915 Mosman classic has been thoughtfully reimagined and extended to create a sanctuary of style from within an idyllic yet highly convenient pocket close to Memory Park and the lifestyle attractions of the Avenue Road shopping village."
20,Mosman,House,5,3,2,240,,5050000,17-Apr-2026,"Serenely nestled in complete seclusion in a sought-after pocket of Mosman, this exceptional family home has been remarkably transformed from its Bauhaus past into a state-of-the-art haven of design excellence."
21,Mosman,House,4,1,1,524.8,,5000000,13-Apr-2026,"Prestigious family haven, blue-chip address, DA for luxury residence. Positioned within one of Sydney's most coveted harbourside enclaves, this elegant two-storey home offers an exceptional opportunity to secure a premier landholding with a prized due-north rear aspect. Set on 524.8sqm, the property combines immediate liveability with extraordinary future potential, boasting an approved Development Application for a substantial luxury residence designed for sophisticated entertaining and multi-generational family living."
22,Mosman,House,3,2,1,296,,3750000,27-Feb-2026,"Enjoying a whisper quiet location, 'Argyle' is a charming renovated freestanding home offering the ultimate Mosman lifestyle.Boasting a versatile floorplan, this stylish light-filled residence will appeal to families of all ages."
23,Mosman,Apartment and Unit,1,1,1,,74,930000,19-Aug-2026,"Designer Living in the Prestigious Monarch Residences. This sophisticated first-floor apartment offers contemporary luxury, light-filled interiors, premium finishes, and a peaceful rear aspect overlooking beautifully landscaped gardens to create a stylish and inviting retreat. "
24,Mosman,Apartment and Unit,2,1,1,,96,1600000,12-Aug-2026,"Sophisticated Village Living with Sweeping Harbour Views. The essence of sophistication, this beautiful full brick apartment showcases timeless modern interiors with mesmerising harbour panoramas spanning over to Manly and beyond to the ocean's edge. "
25,Mosman,Apartment and Unit,2,1,1,,102.2,1025000,03-Jul-2026,"Set well back from the street in a quiet and private position, this beautifully renovated two-bedroom apartment offers a warm and welcoming place to call home. With its perfect east-facing aspect, the apartment is filled with lovely morning sunlight and features a practical floorplan designed for comfortable, easy living. "
26,Mosman,Apartment and Unit,2,1,1,,101,1450000,17-Jun-2026,"Boasting a lifestyle location that simply doesn't get any better, this bright spacious apartment enjoys a privileged corner setting on the fifth floor of 'Camellia Gardens'. "
27,Mosman,Apartment and Unit,1,1,0,,40,800000,29-May-2026,"Perched high on the prestigious Balmoral Slopes, this light-filled apartment encapsulates the quintessential Mosman lifestyle. Just 700 metres to the shores of Balmoral Beach and a mere 80 metres to the heart of Mosman Village, it promises a lifestyle of leisure, connection, and effortless convenience."
28,Mosman,Apartment and Unit,2,1,0,,85,1625000,21-May-2026,"Set within an intimate block of four, this beautifully proportioned Art Deco–Georgian apartment is bathed in northern light, with expansive interiors opening to a sun-drenched oversized balcony."
29,Mosman,Apartment and Unit,2,2,2,,154,2000000,19-May-2026,"Luxuriating in its leafy outlook to gardens and protected from LMR (Low-Mid Rise Housing) development sites, this 154sqm Beechgrove gem delivers everything the Mosman village lifestyle promises, with manicured gardens and a level stroll of less than 100m to the most sought after community on the Lower North Shore."
30,Mosman,Apartment and Unit,3,2,2,,156,3000000,15-May-2026,"Embracing a north-east corner position in a tightly-held complex, this oversized apartment showcases sophisticated luxury spilling to alfresco entertaining. Instantly liveable, the walk-to-everywhere address is moments to Bridgepoint shops and Mosman Village."
31,Mosman,Apartment and Unit,2,1,0,,67,1265000,13-May-2026,"Presenting classic Art Deco appeal, this elegant two-bedroom apartment is a stylish retreat of peace and privacy in a boutique block of four. Poised for convenience, the tranquil setting is steps to Mosman Bay Ferry Wharf and a stroll to Avenue Road shops."
32,Mosman,Apartment and Unit,1,1,1,,37,1500000,16-Apr-2026,"Every room flows to the magnificent views over Balmoral Beach, across to Grotto Point and through to Manly. It's a short 200m stroll to the golden sands of Balmoral Beach and to a selection of cafes and restaurants."
33,Mosman,Apartment and Unit,1,1,0,,58,740000,9-Apr-2026,"There's a particular kind of calm that finds you when you're sitting on this balcony - surrounded by green, the tree canopy exuding a gentle energy and the  buzz of one of Sydney's finest harbour-side parks just a short stroll away. This is Millet Road living, and it's very good indeed."
34,Parramatta,Townhouse,2,1,1,251,,780000,12-Aug-2026,"Perfectly positioned on the fringe of Parramatta CBD in a boutique complex of only 6, this sun drenched north east facing town home enjoys a practical design with opportunity to renovate and reap the rewards. Offering the largest floor plan in the complex of 251m2 in total and a solid full brick, concrete slab construction, it is conveniently located close to quality schools, parks, Parramatta's CBD, shopping and restaurant precinct, this townhouse is a prime lifestyle choice."
35,Parramatta,Townhouse,4,2,2,284,,1300000,21-Jun-2026,"House-Sized Townhouse in a Boutique Parramatta Setting With Low Strata Levy.
Delivering the space and flexibility of a standalone home, this rare double brick townhouse combines generous proportions, multiple indoor and outdoor living zones and a highly desirable Parramatta location. Refreshed throughout and ready to move straight into, the home showcases four well-sized bedrooms, a private, light-filled courtyard, and a large double lock-up garage, making it an outstanding opportunity for families seeking space, practicality, and long-term convenience close to Parramatta CBD."
36,Parramatta,Townhouse,3,2,1,196,,1068000,01-Jun-2026,"Positioned in a sought-after riverbank setting, this beautifully refreshed three-bedroom full-brick townhouse delivers the perfect balance of space, quality, and lifestyle convenience. Offering a generous and well-designed layout with modern finishes throughout, this residence is ideal for families, professionals, investors, or downsizers seeking low-maintenance living without compromise."
37,Parramatta,Townhouse,3,2,2,200,,1155000,19-May-2026,"Spacious Townhouse with Expansive Courtyard in a Quiet Parramatta Pocket
Offering an exceptional sense of space rarely found in townhouse living, this residence at 4/145 Victoria Road, Parramatta combines generous interiors, practical family living, and a large private outdoor area in a highly convenient yet surprisingly quiet riverside pocket."
38,Parramatta,Townhouse,4,2,2,299,,1200000,10-May-2026,"Spacious Full Brick 4-Bedroom Townhouse with Multiple Living Zones - 299 sqm on Title
Offering an impressive 299 sqm on title, this home delivers true house-like proportions with multiple living zones, flexible spaces, and low-maintenance outdoor areas. "
39,Parramatta,Townhouse,3,2,2,145,,1190000,09-Mar-2026,"Peacefully and privately positioned at the rear of a boutique block of just eight, this spacious three-bedroom townhouse delivers relaxed living with outstanding lifestyle convenience. Thoughtfully designed for low-maintenance ease, it reveals generous open-plan interiors, modern finishes and seamless outdoor flow to a paved courtyard, ideal for entertaining and boasting family-sized proportions. With Rivercat ferry, shops, renowned eateries, cafés, schools, Western Sydney University and transport all within easy walking distance, it's a superb opportunity for a growing household, first home buyers, and investors alike."
40,Parramatta,Townhouse,3,2,2,204,,1101500,31-Jan-2026,"Tucked away in a quiet pocket near Parramatta's vibrant CBD and Parramatta River, this spacious townhouse delivers family-sized comfort with a versatile layout and private outdoor entertaining. With schools, parks, transport, and Westfield all within easy reach, it's the perfect balance of lifestyle and convenience."
41,Parramatta,Townhouse,3,1,1,167,,942000,31-Jan-2026,"Renovated Townhouse On The Parramatta CBD Fringe
Poised for an exceptional low maintenance lifestyle, this stylishly renovated townhouse is set within a boutique complex and enjoys a spacious design complemented by light filled interiors. Positioned conveniently located close to quality schools, parks and Parramatta's CBD, shopping and restaurant precinct, this townhouse is a prime lifestyle choice."
42,Parramatta,Townhouse,3,2,2,200,,1250000,11-Dec-2025,"Situated in a tightly-held riverbank pocket and tucked away within a quiet, well-maintained complex, this beautifully presented and recently refreshed three-bedroom townhouse offers the perfect blend of space, comfort and everyday convenience. Designed for low-maintenance living, it boasts generous indoor and outdoor areas ideal for young families, first home buyers and investors alike."
43,Parramatta,Townhouse,3,1,1,150,,920000,15-Nov-2025,"Beautifully presented, recently renovated and superbly located, this 3-bedroom townhouse offers the ideal blend of modern comfort and everyday convenience. Set within a well-maintained boutique complex, it enjoys a convenient location near the lush Ollie Webb Reserve and is just a short walk to Parramatta CBD, railway station, bus interchange, Light Rail, Sydney Metro (under construction), Westfield Shoppingtown, parks, reputable schools, trendy cafés and restaurants, vibrant nightlife, T-Way bus stop, sports grounds, CommBank Stadium, Parramatta Aquatic Centre, and the transformative Parramatta Square, one of Australia's largest urban renewal projects."
44,Parramatta,Townhouse,2,1,1,138,,880000,21-Feb-2025,"An exciting opportunity to secure this solid and spacious two-bedroom full-brick townhouse that epitomizes contemporary urban living in a vibrant city fringe location. This exceptional residence offers the perfect blend of style and comfort, ideal for those seeking a sophisticated lifestyle in a convenient urban setting."
45,Parramatta,Townhouse,3,2,1,206,,950888,16-Aug-2024,"Situated in a boutique full brick & concrete slab complex of only 9, within the popular riverbank locale of East Parramatta, this freshly updated 3 bedroom townhouse offers the sought after north east position at the rear of the complex with only one common wall. "
46,Parramatta,House,3,1,1,739,,2300000,27-Jun-2026,"Situated adjacent to Parramatta River and only moments' walk to Parramatta CBD, University of Western Sydney, Parramatta railway station, Rivercat ferry, Westfield Shoppingtown, Rosehill Gardens Racecourse, newly proposed light rail, vibrant eateries & cafes & easy access to M4. This raw potential development site (Subject To Council Approval) presents an outstanding opportunity for astute builders & developers looking to acquire a prime residential site with great resale value in a tightly held city fringe location"
47,Parramatta,House,3,1,1,461.6,,1610000,27-May-2026,"Positioned on the high side of the street within a tightly held and sought-after blue-chip riverbank location in Parramatta, this well-presented residence offers an outstanding opportunity for families, investors, and developers seeking space, lifestyle, and long-term upside in one of Western Sydney's fastest-growing precincts."
48,Parramatta,House,5,3,2,319.8,,1438888,27-May-2026,"Ideally positioned on Parramatta's tightly held city fringe, just moments from the CBD, this impressive residence delivers an exceptional combination of lifestyle convenience, seamless connectivity, and strong long-term growth potential."
49,Parramatta,House,4,2,2,291,,1750000,23-May-2026,"Designed for Comfort, Built for Family Living. 
A home of convenience, comfort and lifestyle, this well-appointed four-bedroom residence in Parramatta delivers space and functionality for modern family living. Beautifully tiled throughout the lower level and complemented by timber floorboards upstairs, the home offers multiple living zones including a separate front sitting area and a spacious open-plan living and dining domain. Large windows throughout invite an abundance of natural light, capturing a warm glow in the early evenings, while the seamless flow leads to a covered alfresco, with additional kitchen area perfect for relaxed afternoons or entertaining."
50,Parramatta,House,3,1,1,461.6,,1480000,16-May-2026,"Positioned in one of Parramatta's most tightly held pockets, 51 Gore Street beautifully blends classic charm with fresh modern updates, offering a home of warmth, space and lifestyle convenience."
51,Parramatta,House,3,1,1,505.9,,1555000,02-May-2026,"Positioned in an ultra-convenient location, this neat clad residence presents an exceptional opportunity for homeowners, investors, and developers alike."
52,Parramatta,House,4,3,2,461.6,,1800000,20-Apr-2026,"Large Renovated Four Bedrooms Family Home At Riverside Location of Parramatta
Nestled in one of Parramatta's most coveted and tightly held riverbank settings, this beautifully renovated large four-bedroom family home sits within a peaceful cul-de-sac and neighbourhood, combines contemporary comfort and a highly sought-after lifestyle. "
53,Parramatta,House,3,2,2,613.4,,1620000,09-Feb-2026,"CHARMING CITY-FRINGE COTTAGE WITH DUAL STREET FRONTAGE
Nestled in a highly desirable Parramatta locale, this character-filled three-bedroom family home presents a rare opportunity to own an expansive 613.4m² block backing onto Lansdowne Street. Offering a harmonious blend of traditional appeal and future potential, ideal for families, astute renovators or those looking to capitalise on dual access or added dwelling possibilities (Subject To Council Approval). Prime positioning means you're just a stroll from transport, schools, Westfield, parks and the ever-evolving Parramatta CBD precinct."
54,Parramatta,House,3,2,1,381,,1360000,13-Dec-2025,"Well Presented 3 Bedroom Home in a Sought After Location
114 Thomas Street, Parramatta offers a well maintained and comfortable three bedroom residence positioned within one of Sydney's most rapidly developing and highly connected precincts. Delivering practical living and exceptional convenience, this property is well suited to both homeowners and investors seeking quality, accessibility and long term growth."
55,Parramatta,House,5,3,2,462.7,,1680000,09-Dec-2025,"Situated within a short stroll to Western Sydney University, cosmopolitan Parramatta CBD, riverbank, RiverCat ferry, city buses, railway station, Light Rail, Sydney Metro (under construction), vibrant eateries, local shops, childcare, Macarthur Girl's High, CommBank Stadium and nearby one of the largest urban renewal projects in Australia - Parramatta Square, a World-Class Civic Centre."
56,Parramatta,House,3,2,3,670,,1700000,29-Apr-2025,"Nestled in a sought-after Parramatta location, this recently renovated three-bedroom, two-bathroom home is bathed in natural light, offering the perfect combination of comfort and opportunity. With DA approved plans for a granny flat, it presents exceptional potential for investors, families, or those looking to expand."
57,Parramatta,Apartment and Unit,2,1,1,,89,653000,21-Aug-2026,"Fully Completed & Ready To Move In– An attractive, boutique-scale development by Citibuild Design & Construction Pty Ltd, renowned for quality craftsmanship and proven structural integrity."
58,Parramatta,Apartment and Unit,2,2,1,,132,641000,21-Aug-2026,"Positioned on the third floor of a secure and sought-after complex, this beautifully brand new renovated apartment offers a fresh contemporary feel with quality finishes throughout. Showcasing sunlit interiors, a desirable westerly aspect, generous proportions and a versatile floorplan, this home delivers effortless modern living just moments from Parramatta's vibrant CBD, transport, parks and amenities. "
59,Parramatta,Apartment and Unit,1,1,1,,72,600000,21-Aug-2026,"Positioned on the second floor of the prestigious West Village development, this beautifully appointed one-bedroom apartment with a spacious study offers an outstanding opportunity to secure a premium residence in one of Parramatta's most sought-after locations."
60,Parramatta,Apartment and Unit,2,2,1,,122,640000,13-Aug-2026,"Situated in a sought-after complex, this split-level apartment presents an excellent opportunity for those seeking a convenient Parramatta lifestyle. Offering a practical layout and modern finishes throughout, the home is ideally positioned close to Parramatta CBD, public transport, dining and entertainment options. "
61,Parramatta,Apartment and Unit,2,1,1,,81,530000,12-Aug-2026,"Positioned in a quiet residential street on the northern fringe of the Parramatta CBD, this well-presented two-bedroom apartment offers comfort, convenience, and outstanding potential. Whether you're a first home buyer, investor, or downsizer, this is an excellent opportunity to secure a property in a highly sought-after location."
62,Parramatta,Apartment and Unit,2,2,1,,145,657000,11-Aug-2026,"Offering the perfect balance of space, comfort and convenience, this well-presented ground-floor residence is an outstanding opportunity for first-home buyers, downsizers and investors alike. Boasting a functional open-plan layout, two generous bedrooms, two bathrooms and the rare advantage of a private courtyard, this home delivers effortless low-maintenance living in a highly convenient setting. "
63,Parramatta,Apartment and Unit,2,2,1,,127,635000,07-Aug-2026,"Positioned on the ground floor with a prized north-east aspect, this well-designed apartment delivers low-maintenance living with exceptional accessibility. With direct street access to a covered courtyard, a separate study, and flat lift access from the car park, it's an ideal option for downsizers, professionals, or buyers seeking comfort, security, and convenience in a tightly held riverside pocket."
64,Parramatta,Apartment and Unit,1,1,1,,81,400000,07-Aug-2026,"Offering an impressive 101sqm of total space, this rare residence features a generous open-plan living and dining area filled with natural light, a well-appointed kitchen with breakfast bar and ample storage, and an oversized bedroom complete with a mirrored built-in wardrobe. The neat bathroom is finished with floor-to-ceiling tiles, while fresh interiors and quality finishes throughout create a comfortable and inviting home."
65,Parramatta,Apartment and Unit,2,2,1,,124,680000,04-Aug-2026,"Stunning two-bedroom executive apartment in a modern security complex 'The Galleria'. Positioned on level 4 with enclosed undercover warp around balcony with North aspect to give you extra living/entertainment space. Located within a short stroll to vibrant city night life, railway station, RiverCat ferry, bus interchange hub, Light Rail, Sydney Metro (under construction), Westfield Shoppingtown, parks, reputable schools, trendy restaurants, cafes, Church Street eateries, Sydney Water, NSW Police Headquarters, CommBank Stadium and nearby one of the largest urban renewal projects in Australia - Parramatta Square, a World-Class Civic Centre."
66,Parramatta,Apartment and Unit,2,1,1,,150,588000,04-Aug-2026,"Rarely does a property offer such an impressive combination of generous indoor living and outstanding outdoor space. Positioned on the ground floor of a solid full brick and concrete slab complex, this beautifully presented two-bedroom unit features an enormous wraparound private courtyard, creating the perfect setting for entertaining, family gatherings, outdoor dining, or a secure space for children and pets to enjoy."
67,Parramatta,Apartment and Unit,2,2,1,,126,720000,10-Jul-2026,"Perfectly positioned on Level 3 in Building F of one of the newest riverside developments, 'Promenade', this immaculately presented and luxuriously appointed two-bedroom apartment showcases a spacious open-plan layout, a large private courtyard with a tranquil sanctuary feel, and a generous balcony accessible from both bedrooms. Complete with an oversized study, this is one of the largest apartments on offer within the Morton/Broughton Street precinct."
68,Liverpool,Townhouse,4,3,1,241,,962000,10-Aug-2026,"Positioned within a boutique complex in one of Liverpool's most convenient pockets, this contemporary residence delivers the perfect blend of style, space and low-maintenance living. Designed for growing families and professionals in mind, the home showcases expansive open-plan interiors, a sleek stone kitchen, four generous bedrooms, multiple bathrooms and seamless indoor-outdoor entertaining. With quality finishes throughout, a private backyard and easy access to Liverpool CBD, transport, schools and shopping, this is modern living without compromise."
69,Liverpool,Townhouse,2,2,2,192,,795000,09-Aug-2026,"Enjoy easy modern living in this well-presented two-bedroom townhouse, offering a practical open plan layout and seamless indoor-outdoor flow. Ideal for first home buyers or investors, the home features light-filled interiors and low-maintenance outdoor spaces."
70,Liverpool,Townhouse,3,2,2,184,,915000,18-Mar-2026,"Perfectly positioned at the rear of an intimate complex of just 10, this beautifully renovated residence presents an outstanding opportunity to secure a spacious and low-maintenance home in the heart of Liverpool. Offered for the first time since its construction in 2001, this impressive property combines generous proportions with modern upgrades throughout."
71,Liverpool,Townhouse,2,1,1,143,,801000,14-Feb-2026,"This modern, beautifully maintained townhouse offers a lifestyle of comfort and convenience with nothing to spend. Fully tiled throughout the lower level, it features a lovely kitchen equipped with stainless steel appliances and a practical, flowing layout."
72,Liverpool,Townhouse,2,1,1,139,,600000,19-Jan-2026,"Positioned in a secure and clean complex, this neatly presented 2-bedroom townhouse offers the perfect blend of comfort, convenience, and low-maintenance living. Ideal for first-home buyers, downsizers, or investors. "
73,Liverpool,Townhouse,3,2,1,114,,795000,12-Dec-2025,"Welcome to 2/39 Mayberry Crescent - a well-presented home offering comfort, convenience, and a low-maintenance lifestyle in one of Liverpool's most accessible pockets. Perfect for first home buyers, downsizers, and investors seeking a solid addition to their portfolio. "
74,Liverpool,Townhouse,3,1,4,320,,705000,06-Dec-2025,"Positioned just moments from Woodward Park, Liverpool West Public School, and Mainsbridge School, and within close proximity to quality education options including St Francis Xavier's Catholic Primary and All Saints Catholic College, this home offers the perfect balance of comfort and connectivity."
75,Liverpool,Townhouse,4,2,1,279,,900000,17-Oct-2025,"Perfectly positioned across two levels, this home blends comfort and functionality for modern family life. Set in a quiet, family-friendly complex just minutes from Liverpool's key amenities, this double storey home delivers space, convenience and smart investment appeal. With generous interiors and a low-maintenance private yard, it's ideal for growing families or astute investors looking for a strong rental performer."
76,Liverpool,Townhouse,2,1,1,106,,740000,20-Sep-2025,"This full-brick townhouse with suspended-slab construction offers the strength and reliability of an established build, paired with modern updates for easy day-to-day living. A practical choice for both first-home buyers and investors, it's move-in ready with nothing further to spend."
77,Liverpool,Townhouse,3,2,1,224,,826000,26-Jul-2025,"This property features modern architecture, a spacious backyard and a beautifully designed interior. Featuring three spacious bedrooms and two well-appointed bathrooms, this property is perfect for families. The open plan living and dining room offer ample space for entertaining guests or simply enjoying family time."
78,Liverpool,Townhouse,3,3,1,159,,710000,12-Feb-2025,"Offering an abundance of internal living space, this oversized property features a smart floorplan designed for spacious family living. The ground floor welcomes you into the large living room which leads to the separate dining room area, the second floor consists of two bedrooms and a bathroom with a bathtub. "
79,Liverpool,House,3,1,1,557.4,,960000,03-Aug-2026,"Positioned in a well-established and family-friendly pocket of Liverpool, this three-bedroom home presents an exceptional opportunity for renovators, investors, and buyers looking to add their own personal touch."
80,Liverpool,House,3,1,1,450,,976000,25-Jul-2026,"Positioned in a quiet and convenient pocket of Liverpool, this three bedroom home presents a rare opportunity for renovators, builders and buyers looking to create something from the ground up."
81,Liverpool,House,4,1,3,652,,1270000,14-Jul-2026,"This development site is CDC approved for 6 terrces ranging between 3-5 bedrooms all over 200m2 (please refer to the CDC plans for details). the site consist of 2 houses with consolidated land; one of which is still livable. This development enjoys flat land with easy access and prime location. approx 1.5KM to both Westfield and Fashion Spree shopping center, while only 2.5km to public and private hospitals also to the train station."
82,Liverpool,House,4,1,1,727,,1083000,08-Jul-2026,"Positioned in a tightly held cul-de-sac in the heart of Liverpool, 30 Danalam Street presents an exceptional opportunity for families, investors, or those seeking space with flexibility on a generous 727m² parcel of land."
83,Liverpool,House,3,1,4,664,,1090000,9-Jun-2026,"The seamless flow from the kitchen to the living areas has made hosting family gatherings a joy, while the sunroom offers a peaceful retreat for quiet moments."
84,Liverpool,House,3,1,3,510,,1050000,06-Jun-2026,"Positioned in the heart of Liverpool, this well-maintained family home offers space, versatility and outstanding outdoor entertaining on a generous block. Perfect for first home buyers, growing families, investors or tradies needing extra storage and workshop space, the property combines comfortable living with superb lifestyle features including a pool, pergola and detached workshop/garage."
85,Liverpool,House,3,1,4,657.7,,1265000,02-Jun-2026,"Prime R3 Opportunity – Walk to Liverpool CBD on 657.7m² blockPositioned in one of Liverpool’s most convenient locations, this neatly presented clad home offers immediate comfort, strong rental appeal and outstanding future potential on a level 657.7m² R3 Medium Density block."
86,Liverpool,House,3,1,1,537.5,,1210000,01-Jun-2026,"Welcome to 151 Memorial Avenue, Liverpool - A home offering exceptional lifestyle and future development potential. This residence combines modern finishes, stylish design throughout, and spacious outdoor retreats, all set on a level 537.5sqm corner block. The property enjoys proximity to Liverpool's CBD and moments to - Liverpool Hospital - Westfield Shopping Centre - Liverpool Train Station - Parks, schools, cafes, and all essential amenities"
87,Liverpool,House,3,1,2,559,,1160000,01-Jun-2026,"Set on a generous 559sqm parcel in a convenient Liverpool pocket, this versatile single-level residence offers a rare blend of space, functionality and future potential. With a flexible layout that includes a fully equipped salon/studio setup, multiple living zones and expansive outdoor entertaining, the home caters effortlessly to growing families, home business owners or savvy buyers seeking dual-use potential. Well-maintained throughout with scope to modernize or add value by adding a granny-flat (STCA), this is a property that delivers immediate comfort with exciting upside."
88,Liverpool,House,2,1,1,135,,735000,29-Apr-2026,"Welcome to 11B McLean Street, Liverpool, a perfectly presented townhouse offering a seamless blend of comfort, functionality, and extremely low-maintenance living. Positioned within a small and quiet complex of only three units, this home delivers privacy and convenience, making it ideal for families, couples, or investors."
89,Liverpool,House,3,1,1,618.3,,1525000,31-Mar-2026,"Just a leisurely stroll to Liverpool City Centre. This solid brick veneer home is packed with potential and situated in a highly sought area close to Liverpool West Public School, local shopping precinct and public transport. A great opportunity for those looking to knockdown/rebuild or future development opportunity.   "
90,Liverpool,Apartment and Unit,2,2,1,,112,555000,13-Aug-2026,"ABUNDANCE OF NATURAL LIGHT IN PRIME LOCATION
Located in the sought after Atrium building and in an ultra convenient location, this apartment offers the ultimate convenience for savvy buyers seeking a contemporary and sophisticated lifestyle."
91,Liverpool,Apartment and Unit,2,1,1,,102,450000,13-Aug-2026,"Oversized two bedroom apartment with lock up garage in a walk -to-everything Liverpool Position
Set in a central Liverpool location within easy reach of Westfield, Liverpool CBD, transport, schools and the medical precinct, this bright two-bedroom apartment offers the kind of practical space that is increasingly hard to find at this entry level."
